id,string,number,olddate,boolean
1,drive,41680,2000-12-07,0
2,environment,93984,1995-09-22,0
3,focus,93878,1973-12-20,0
4,new,40317,1985-01-23,0
5,threat,33109,1992-06-30,1
6,make,13890,1978-03-23,1
7,hour,97654,1975-09-01,0
8,central,41973,1995-07-25,1
9,region,77993,2020-08-06,1
10,will,89450,2022-05-09,0
11,type,83465,1976-09-27,0
12,buy,37927,1990-08-01,0
13,contain,58489,1974-12-05,0
14,catch,16632,1976-08-12,0
15,medical,77638,1999-01-02,0
16,onto,92011,1975-04-17,0
17,on,87904,1976-06-04,0
18,have,45607,1997-02-21,1
19,staff,51472,1996-09-06,0
20,continue,62332,1995-03-08,0
21,man,43188,2014-03-08,1
22,religious,65362,1986-01-03,1
23,maintain,34486,1970-04-16,1
24,however,71906,2010-06-20,1
25,admit,30604,2014-04-25,0
26,fund,79062,2001-05-08,1
27,onto,41477,1982-12-19,0
28,enter,98417,1995-01-03,1
29,authority,67253,2022-09-05,1
30,rise,79525,1988-12-09,1
31,pretty,16105,1975-12-02,0
32,reach,21787,1976-08-19,1
33,dark,78009,1976-06-22,0
34,total,96968,1979-04-02,1
35,rule,26570,1986-05-13,1
36,power,46762,2017-12-03,1
37,hot,28654,2005-07-21,1
38,enough,77755,2010-10-15,0
39,wonder,32726,1980-06-11,0
40,soon,62703,1985-10-04,0
41,team,78458,2018-04-04,1
42,book,38285,1998-09-19,0
43,people,39814,1998-02-16,0
44,food,81615,1982-11-29,0
45,school,58640,1981-11-10,0
46,most,84435,1998-12-02,1
47,green,59086,2000-04-14,0
48,economic,99431,1987-05-08,0
49,site,83842,2011-10-17,0
50,follow,33459,2017-07-15,1
51,election,82226,1994-04-04,0
52,strategy,13147,1974-10-01,0
53,color,75696,1999-06-07,0
54,beautiful,46691,1999-02-07,1
55,majority,37382,2016-12-13,0
56,poor,56776,1991-03-04,1
57,effort,41697,1972-08-29,1
58,difference,11440,2017-05-16,0
59,own,24096,1986-07-20,1
60,they,22385,2008-10-27,1
61,left,97086,2000-03-02,0
62,remember,91953,2005-08-12,1
63,score,75502,2012-06-08,0
64,minute,85459,2005-11-20,1
65,somebody,98800,1980-02-08,0
66,participant,39269,2020-02-22,0
67,move,97760,1985-04-24,0
68,answer,76781,1991-01-17,1
69,war,82826,1997-01-07,0
70,Mr,89885,1970-07-03,1
71,partner,21932,2014-02-10,1
72,special,54767,1977-01-24,0
73,clearly,69968,2004-06-04,0
74,and,62433,1992-06-24,1
75,book,10946,1998-06-07,1
76,vote,91724,2012-04-25,1
77,itself,30192,2007-01-28,0
78,big,86367,1973-12-09,0
79,building,55356,2023-09-07,1
80,safe,33444,1984-06-11,1
81,air,24713,1998-07-11,0
82,able,83790,2021-03-22,0
83,amount,13397,1981-02-03,1
84,nearly,93455,1973-04-10,0
85,could,44630,2013-08-23,1
86,some,95585,1986-12-31,0
87,near,62351,2023-04-11,1
88,particularly,19745,2004-10-12,1
89,white,84563,1997-01-02,0
90,onto,66607,2021-09-19,0
91,among,69130,2005-06-28,1
92,term,38266,1983-12-29,1
93,less,63415,1978-10-30,0
94,until,10820,1980-01-20,1
95,direction,79065,1986-07-09,0
96,bank,80428,2013-02-01,0
97,skill,99197,2021-07-26,1
98,cultural,12042,1996-03-19,0
99,expect,47043,2019-08-22,1
100,such,33359,2023-01-13,1
101,mother,67089,2011-07-09,1
102,deep,41062,2009-05-10,0
103,later,54607,1972-11-16,1
104,difference,61793,2011-05-25,1
105,know,65993,1980-03-16,0
106,base,85800,1997-06-04,0
107,check,22775,1989-01-12,0
108,anyone,44918,1995-11-19,1
109,affect,18525,2001-11-30,1
110,show,22026,2015-04-14,1
111,clearly,56859,1972-08-21,1
112,determine,62640,1989-08-13,0
113,medical,15958,1998-06-18,0
114,something,75973,1999-11-09,0
115,event,61448,1979-02-27,0
116,land,66086,2020-04-08,0
117,movement,83411,2009-10-18,1
118,senior,20019,2017-06-17,0
119,cup,34242,1999-01-26,0
120,ago,93633,1983-06-17,1
121,course,93150,2020-04-30,0
122,recently,21528,2013-11-29,1
123,kitchen,41544,1987-05-19,1
124,recently,14439,1978-04-25,0
125,help,83649,1982-05-26,1
126,serve,45175,1995-09-14,1
127,clear,37230,1989-10-29,0
128,high,60281,1977-12-17,1
129,water,20638,2020-09-16,0
130,fear,21923,2023-09-02,0
131,cold,40612,1995-05-13,1
132,local,82084,1980-01-30,0
133,bring,74724,2003-12-22,1
134,machine,27327,2010-11-21,0
135,rich,24656,1982-06-24,0
136,officer,63352,2024-01-03,0
137,card,70637,1972-01-17,0
138,hope,29029,1990-02-06,1
139,special,90394,1982-07-16,0
140,everything,18153,2007-10-23,1
141,others,25220,1997-12-27,1
142,home,34359,2023-09-14,0
143,all,12101,1994-07-05,1
144,sit,37980,1985-05-06,1
145,serious,29299,1971-09-11,0
146,able,54862,1993-09-14,0
147,order,18133,1993-02-25,0
148,difference,37915,2015-01-05,1
149,month,91485,2015-08-23,0
150,point,59459,1970-01-13,1
151,over,96690,2012-02-24,0
152,personal,54491,1991-10-12,0
153,major,48015,1978-03-02,0
154,site,46786,2023-07-16,0
155,success,79683,2002-03-18,1
156,management,45437,1974-10-19,1
157,force,33137,1986-10-21,1
158,watch,10193,2017-08-17,0
159,page,73379,1973-01-25,1
160,feeling,74675,1996-12-12,0
161,drug,57107,2013-01-14,1
162,law,85238,1973-07-03,0
163,west,29287,2009-03-17,1
164,land,96895,1992-11-15,0
165,across,76974,2010-07-13,0
166,middle,68222,2006-06-09,1
167,remain,70646,2000-10-12,0
168,brother,35323,1979-07-21,0
169,modern,88059,2019-11-10,0
170,total,46603,1995-07-17,0
171,health,73121,2004-09-22,1
172,should,91914,2021-06-25,1
173,authority,28023,2015-09-18,1
174,ahead,87181,2019-01-25,1
175,town,44412,1971-02-22,1
176,book,54736,2014-10-07,1
177,movie,16716,1972-10-18,0
178,rather,75269,1970-09-07,0
179,blood,24522,2013-05-05,1
180,could,65538,2007-09-06,1
181,treatment,25268,1970-05-12,0
182,less,50968,2023-12-13,1
183,should,85479,2002-07-05,0
184,store,86963,1996-04-22,0
185,around,79575,2004-11-14,1
186,turn,33795,1987-06-03,0
187,like,13133,1974-07-18,1
188,indeed,50220,2015-08-22,1
189,money,59004,2010-10-02,0
190,try,57201,1979-04-18,1
191,recent,95927,2022-05-31,1
192,somebody,85439,1983-11-08,1
193,reality,87205,2017-05-26,0
194,never,69610,1987-01-13,1
195,bar,45933,1986-04-26,0
196,significant,19507,1978-12-07,1
197,claim,50826,1981-03-20,1
198,world,68171,1987-01-24,0
199,nothing,14697,2005-09-07,1
200,control,59231,1979-02-18,1
201,must,66645,2005-01-18,1
202,agency,29215,1990-06-21,0
203,watch,18878,2019-03-11,1
204,fear,28336,2023-07-18,0
205,news,59263,1993-12-11,1
206,wide,51897,1973-03-28,0
207,medical,54049,1994-08-05,1
208,whether,54549,2012-12-30,1
209,space,64356,1996-10-29,1
210,business,61753,1998-02-14,0
211,anything,29866,1971-06-01,0
212,oil,17672,1972-01-07,1
213,appear,64658,1979-11-13,1
214,mind,83087,2015-12-23,0
215,whom,29271,1980-10-26,1
216,trouble,39563,2009-07-12,1
217,heart,14415,2016-02-07,1
218,family,42050,1989-06-13,0
219,catch,15321,1982-05-15,1
220,store,49350,1989-11-01,1
221,player,32546,2004-01-19,0
222,my,53239,1975-09-12,0
223,floor,24128,1987-11-24,1
224,guess,91361,2005-10-16,0
225,commercial,81659,2009-01-18,0
226,generation,76901,2013-01-25,1
227,medical,11950,1993-04-22,0
228,positive,34091,2016-08-19,1
229,theory,55332,1988-03-15,1
230,resource,51135,1971-01-30,0
231,scientist,59505,1975-09-14,1
232,outside,31426,2009-08-24,1
233,because,91101,1994-02-02,1
234,price,67640,1988-11-30,1
235,too,74751,1980-05-04,1
236,attorney,56746,2002-05-05,0
237,old,23027,1977-10-19,1
238,off,13486,1997-10-13,0
239,show,60489,2009-08-22,1
240,create,60005,1980-12-25,1
241,vote,94314,1976-05-07,0
242,arrive,32181,2013-05-17,0
243,word,24798,1982-05-23,0
244,realize,69242,1996-04-22,1
245,employee,80382,1975-11-06,0
246,increase,13281,1993-10-08,1
247,discover,97004,1978-02-24,1
248,describe,61432,1985-06-18,1
249,four,38615,2013-05-26,0
